ip,icmp,tcp_22,tcp_23,tcp_80,tcp_443,tcp_9443
198.18.152.158,False,False,False,False,False,False
198.18.152.159,False,False,False,False,False,False
198.18.152.160,False,False,False,False,False,False
198.18.152.161,False,False,False,False,False,False
198.18.152.162,False,False,False,False,False,False
198.18.152.163,False,False,False,False,False,False
198.18.152.164,False,False,False,False,False,False
198.18.152.165,False,False,False,False,False,False
198.18.152.166,False,False,False,False,False,False
198.18.152.167,False,False,False,False,False,False
198.18.152.168,False,False,False,False,False,False
198.18.152.169,False,False,False,False,False,False
198.18.152.170,False,False,False,False,False,False
198.18.152.171,False,False,False,False,False,False
198.18.152.172,False,False,False,False,False,False
198.18.152.173,False,False,False,False,False,False
198.18.152.174,False,False,False,False,False,False
198.18.152.175,False,False,False,False,False,False
198.18.152.176,False,False,False,False,False,False
198.18.152.177,False,False,False,False,False,False
198.18.152.178,True,True,False,True,True,False
198.18.152.179,False,False,False,False,False,False
198.18.152.180,False,False,False,False,False,False
198.18.152.181,False,False,False,False,False,False
198.18.152.182,False,False,False,False,False,False
198.18.152.183,False,False,False,False,False,False
198.18.152.184,False,False,False,False,False,False
198.18.152.185,False,False,False,False,False,False
198.18.152.186,False,False,False,False,False,False
198.18.152.187,False,False,False,False,False,False
198.18.152.188,False,False,False,False,False,False
198.18.152.189,False,False,False,False,False,False
198.18.152.190,False,False,False,False,False,False
198.18.152.191,False,False,False,False,False,False
198.18.152.192,False,False,False,False,False,False
198.18.152.193,False,False,False,False,False,False
198.18.152.194,False,False,False,False,False,False
198.18.152.195,False,False,False,False,False,False
198.18.152.196,False,False,False,False,False,False
198.18.152.197,False,False,False,False,False,False
198.18.152.198,False,False,False,False,False,False
198.18.152.199,False,False,False,False,False,False
198.18.152.200,False,False,False,False,False,False
198.18.152.201,False,False,False,False,False,False
198.18.152.202,False,False,False,False,False,False
198.18.152.203,False,False,False,False,False,False
198.18.152.204,False,False,False,False,False,False
198.18.152.205,False,False,False,False,False,False
198.18.152.206,False,False,False,False,False,False
198.18.152.207,False,False,False,False,False,False
198.18.152.208,False,False,False,False,False,False
198.18.152.209,False,False,False,False,False,False
198.18.152.210,False,False,False,False,False,False
198.18.152.211,False,False,False,False,False,False
198.18.152.212,False,False,False,False,False,False
198.18.152.213,False,False,False,False,False,False
198.18.152.214,False,False,False,False,False,False
198.18.152.215,False,False,False,False,False,False
198.18.152.216,False,False,False,False,False,False
198.18.152.217,False,False,False,False,False,False
198.18.152.218,False,False,False,False,False,False
198.18.152.219,False,False,False,False,False,False
198.18.152.220,False,False,False,False,False,False
198.18.152.221,False,False,False,False,False,False
198.18.152.222,False,False,False,False,False,False
198.18.152.223,False,False,False,False,False,False
198.18.152.224,False,False,False,False,False,False
198.18.152.225,False,False,False,False,False,False
198.18.152.226,False,False,False,False,False,False
198.18.152.227,False,False,False,False,False,False
198.18.152.228,False,False,False,False,False,False
198.18.152.229,False,False,False,False,False,False
198.18.152.230,False,False,False,False,False,False
198.18.152.231,False,False,False,False,False,False
198.18.152.232,False,False,False,False,False,False
198.18.152.233,False,False,False,False,False,False
198.18.152.234,False,False,False,False,False,False
198.18.152.235,False,False,False,False,False,False
198.18.152.236,False,False,False,False,False,False
198.18.152.237,False,False,False,False,False,False
198.18.152.238,False,False,False,False,False,False
198.18.152.239,False,False,False,False,False,False
198.18.152.240,False,False,False,False,False,False
198.18.152.241,False,False,False,False,False,False
198.18.152.242,False,False,False,False,False,False
198.18.152.243,False,False,False,False,False,False
198.18.152.244,False,False,False,False,False,False
198.18.152.245,False,False,False,False,False,False
198.18.152.246,False,False,False,False,False,False
198.18.152.247,False,False,False,False,False,False
198.18.152.248,False,False,False,False,False,False
198.18.152.249,False,False,False,False,False,False
198.18.152.250,True,True,False,False,False,False
198.18.152.251,False,False,False,False,False,False
198.18.152.252,False,False,False,False,False,False
198.18.152.253,False,False,False,False,False,False
198.18.152.254,False,False,False,False,False,False
198.18.152.255,False,False,False,False,False,False
